min,Intensity
0.00000000,-354.000000
0.00833333,-353.000000
0.01666667,-352.000000
0.02500000,-401.000000
0.03333333,-401.000000
0.04166667,-401.000000
0.05000000,-402.000000
0.05833333,-401.000000
0.06666667,-401.000000
0.07500000,-403.000000
0.08333333,-401.000000
0.09166667,-402.000000
0.10000000,-401.000000
0.10833333,-352.000000
0.11666667,-402.000000
0.12500000,-402.000000
0.13333333,-402.000000
0.14166667,-402.000000
0.15000000,-402.000000
0.15833333,-401.000000
0.16666667,-402.000000
0.17500000,-402.000000
0.18333333,-402.000000
0.19166667,-402.000000
0.20000000,-401.000000
0.20833333,-403.000000
0.21666667,-403.000000
0.22500000,-354.000000
0.23333333,-352.000000
0.24166667,-401.000000
0.25000000,-402.000000
0.25833333,-401.000000
0.26666667,-400.000000
0.27500000,-403.000000
0.28333333,-403.000000
0.29166667,-401.000000
0.30000000,-402.000000
0.30833333,-402.000000
0.31666667,-403.000000
0.32500000,-403.000000
0.33333333,-402.000000
0.34166667,-403.000000
0.35000000,-401.000000
0.35833333,-402.000000
0.36666667,-403.000000
0.37500000,-402.000000
0.38333333,-402.000000
0.39166667,-403.000000
0.40000000,-402.000000
0.40833333,-401.000000
0.41666667,-401.000000
0.42500000,-403.000000
0.43333333,-401.000000
0.44166667,-402.000000
0.45000000,-402.000000
0.45833333,-402.000000
0.46666667,-402.000000
0.47500000,-403.000000
0.48333333,-403.000000
0.49166667,-402.000000
0.50000000,-403.000000
0.50833333,-401.000000
0.51666667,-404.000000
0.52500000,-403.000000
0.53333333,-401.000000
0.54166667,-354.000000
0.55000000,-355.000000
0.55833333,-355.000000
0.56666667,-354.000000
0.57500000,-354.000000
0.58333333,-404.000000
0.59166667,-355.000000
0.60000000,-356.000000
0.60833333,-402.000000
0.61666667,-401.000000
0.62500000,-402.000000
0.63333333,-402.000000
0.64166667,-401.000000
0.65000000,-401.000000
0.65833333,-403.000000
0.66666667,-402.000000
0.67500000,-402.000000
0.68333333,-403.000000
0.69166667,-402.000000
0.70000000,-402.000000
0.70833333,-402.000000
0.71666667,-402.000000
0.72500000,-401.000000
0.73333333,-401.000000
0.74166667,-401.000000
0.75000000,-402.000000
0.75833333,-353.000000
0.76666667,-369.000000
0.77500000,-401.000000
0.78333333,-401.000000
0.79166667,-410.000000
0.80000000,-410.000000
0.80833333,-408.000000
0.81666667,-401.000000
0.82500000,-401.000000
0.83333333,-402.000000
0.84166667,-401.000000
0.85000000,-401.000000
0.85833333,-399.000000
0.86666667,-401.000000
0.87500000,-400.000000
0.88333333,-400.000000
0.89166667,-402.000000
0.90000000,-402.000000
0.90833333,-402.000000
0.91666667,-401.000000
0.92500000,-400.000000
0.93333333,-401.000000
0.94166667,-401.000000
0.95000000,-401.000000
0.95833333,-399.000000
0.96666667,-401.000000
0.97500000,-353.000000
0.98333333,-403.000000
0.99166667,-402.000000
1.00000000,-401.000000
1.00833333,-401.000000
1.01666667,-404.000000
1.02500000,-403.000000
1.03333333,-402.000000
1.04166667,-401.000000
1.05000000,-402.000000
1.05833333,-402.000000
1.06666667,-401.000000
1.07500000,-402.000000
1.08333333,-401.000000
1.09166667,-401.000000
1.10000000,-401.000000
1.10833333,-402.000000
1.11666667,-401.000000
1.12500000,-402.000000
1.13333333,-401.000000
1.14166667,-402.000000
1.15000000,-402.000000
1.15833333,-403.000000
1.16666667,-401.000000
1.17500000,-401.000000
1.18333333,-401.000000
1.19166667,-400.000000
1.20000000,-401.000000
1.20833333,-401.000000
1.21666667,-401.000000
1.22500000,-400.000000
1.23333333,-401.000000
1.24166667,-402.000000
1.25000000,-400.000000
1.25833333,-400.000000
1.26666667,-400.000000
1.27500000,-400.000000
1.28333333,-400.000000
1.29166667,-401.000000
1.30000000,-408.000000
1.30833333,-408.000000
1.31666667,-407.000000
1.32500000,-408.000000
1.33333333,-401.000000
1.34166667,-401.000000
1.35000000,-401.000000
1.35833333,-401.000000
1.36666667,-400.000000
1.37500000,-399.000000
1.38333333,-400.000000
1.39166667,-401.000000
1.40000000,-408.000000
1.40833333,-401.000000
1.41666667,-402.000000
1.42500000,-401.000000
1.43333333,-409.000000
1.44166667,-408.000000
1.45000000,-401.000000
1.45833333,-400.000000
1.46666667,-399.000000
1.47500000,-401.000000
1.48333333,-399.000000
1.49166667,-399.000000
1.50000000,-401.000000
1.50833333,-399.000000
1.51666667,-399.000000
1.52500000,-400.000000
1.53333333,-399.000000
1.54166667,-401.000000
1.55000000,-401.000000
1.55833333,-400.000000
1.56666667,-401.000000
1.57500000,-399.000000
1.58333333,-400.000000
1.59166667,-399.000000
1.60000000,-401.000000
1.60833333,-400.000000
1.61666667,-407.000000
1.62500000,-408.000000
1.63333333,-408.000000
1.64166667,-407.000000
1.65000000,-406.000000
1.65833333,-407.000000
1.66666667,-408.000000
1.67500000,-408.000000
1.68333333,-406.000000
1.69166667,-406.000000
1.70000000,-407.000000
1.70833333,-408.000000
1.71666667,-408.000000
1.72500000,-407.000000
1.73333333,-408.000000
1.74166667,-407.000000
1.75000000,-400.000000
1.75833333,-399.000000
1.76666667,-401.000000
1.77500000,-401.000000
1.78333333,-401.000000
1.79166667,-408.000000
1.80000000,-409.000000
1.80833333,-410.000000
1.81666667,-409.000000
1.82500000,-408.000000
1.83333333,-409.000000
1.84166667,-401.000000
1.85000000,-400.000000
1.85833333,-400.000000
1.86666667,-401.000000
1.87500000,-401.000000
1.88333333,-401.000000
1.89166667,-401.000000
1.90000000,-408.000000
1.90833333,-407.000000
1.91666667,-408.000000
1.92500000,-407.000000
1.93333333,-408.000000
1.94166667,-408.000000
1.95000000,-409.000000
1.95833333,-401.000000
1.96666667,-401.000000
1.97500000,-403.000000
1.98333333,-400.000000
