min,Intensity
0.00000000,-887.000000
0.00833333,-393.000000
0.01666667,-385.000000
0.02500000,-385.000000
0.03333333,-377.000000
0.04166667,-377.000000
0.05000000,-385.000000
0.05833333,-378.000000
0.06666667,-378.000000
0.07500000,-379.000000
0.08333333,-378.000000
0.09166667,-377.000000
0.10000000,-377.000000
0.10833333,-371.000000
0.11666667,-370.000000
0.12500000,-377.000000
0.13333333,-378.000000
0.14166667,-377.000000
0.15000000,-377.000000
0.15833333,-376.000000
0.16666667,-377.000000
0.17500000,-377.000000
0.18333333,-377.000000
0.19166667,-377.000000
0.20000000,-377.000000
0.20833333,-377.000000
0.21666667,-376.000000
0.22500000,-369.000000
0.23333333,-368.000000
0.24166667,-368.000000
0.25000000,-377.000000
0.25833333,-377.000000
0.26666667,-370.000000
0.27500000,-377.000000
0.28333333,-377.000000
0.29166667,-377.000000
0.30000000,-377.000000
0.30833333,-378.000000
0.31666667,-378.000000
0.32500000,-377.000000
0.33333333,-369.000000
0.34166667,-371.000000
0.35000000,-370.000000
0.35833333,-369.000000
0.36666667,-369.000000
0.37500000,-369.000000
0.38333333,-369.000000
0.39166667,-370.000000
0.40000000,-369.000000
0.40833333,-369.000000
0.41666667,-368.000000
0.42500000,-372.000000
0.43333333,-362.000000
0.44166667,-362.000000
0.45000000,-370.000000
0.45833333,-369.000000
0.46666667,-369.000000
0.47500000,-370.000000
0.48333333,-377.000000
0.49166667,-377.000000
0.50000000,-376.000000
0.50833333,-377.000000
0.51666667,-376.000000
0.52500000,-376.000000
0.53333333,-366.000000
0.54166667,-368.000000
0.55000000,-369.000000
0.55833333,-369.000000
0.56666667,-368.000000
0.57500000,-369.000000
0.58333333,-370.000000
0.59166667,-370.000000
0.60000000,-369.000000
0.60833333,-370.000000
0.61666667,-369.000000
0.62500000,-369.000000
0.63333333,-370.000000
0.64166667,-369.000000
0.65000000,-368.000000
0.65833333,-371.000000
0.66666667,-370.000000
0.67500000,-370.000000
0.68333333,-369.000000
0.69166667,-369.000000
0.70000000,-363.000000
0.70833333,-369.000000
0.71666667,-369.000000
0.72500000,-377.000000
0.73333333,-377.000000
0.74166667,-370.000000
0.75000000,-369.000000
0.75833333,-368.000000
0.76666667,-370.000000
0.77500000,-369.000000
0.78333333,-371.000000
0.79166667,-370.000000
0.80000000,-370.000000
0.80833333,-370.000000
0.81666667,-370.000000
0.82500000,-369.000000
0.83333333,-369.000000
0.84166667,-370.000000
0.85000000,-371.000000
0.85833333,-370.000000
0.86666667,-370.000000
0.87500000,-371.000000
0.88333333,-362.000000
0.89166667,-363.000000
0.90000000,-372.000000
0.90833333,-370.000000
0.91666667,-370.000000
0.92500000,-369.000000
0.93333333,-371.000000
0.94166667,-370.000000
0.95000000,-371.000000
0.95833333,-370.000000
0.96666667,-370.000000
0.97500000,-370.000000
0.98333333,-370.000000
0.99166667,-369.000000
1.00000000,-370.000000
1.00833333,-370.000000
1.01666667,-370.000000
1.02500000,-371.000000
1.03333333,-370.000000
1.04166667,-371.000000
1.05000000,-370.000000
1.05833333,-369.000000
1.06666667,-369.000000
1.07500000,-369.000000
1.08333333,-370.000000
1.09166667,-370.000000
1.10000000,-370.000000
1.10833333,-370.000000
1.11666667,-370.000000
1.12500000,-372.000000
1.13333333,-369.000000
1.14166667,-370.000000
1.15000000,-370.000000
1.15833333,-369.000000
1.16666667,-371.000000
1.17500000,-377.000000
1.18333333,-377.000000
1.19166667,-370.000000
1.20000000,-369.000000
1.20833333,-369.000000
1.21666667,-370.000000
1.22500000,-368.000000
1.23333333,-377.000000
1.24166667,-370.000000
1.25000000,-369.000000
1.25833333,-370.000000
1.26666667,-369.000000
1.27500000,-370.000000
1.28333333,-370.000000
